tag,country,province,lat,lng
227,Pakistan,Khyber Pakhtunkhwa,34.75,72.35
228,Australia,Queensland,-27.455,153.0351
231,Lebanon,Beyrouth,33.872,35.5097
233,Belarus,Minsk,53.9,27.5666
234,Japan,Kyōto,35.03,135.75
235,Colombia,Atlántico,10.96,-74.8
238,Venezuela,Carabobo,10.23,-67.98
239,Germany,Hamburg,53.55,10.0
241,Brazil,Amazonas,-3.1,-60.0
244,Indonesia,Sumatera Selatan,-2.98,104.75
245,Belgium,Brussels-Capital Region,50.8333,4.3333
246,Germany,North Rhine-Westphalia,51.45,7.0166
247,US,Ohio,41.4767,-81.6805
254,Poland,Mazowieckie,52.25,21.0
255,Morocco,Rabat-Salé-Kénitra,34.0253,-6.8361
256,Brazil,Espírito Santo,-20.324,-40.366
257,Ecuador,Pichincha,-0.215,-78.5001
258,Madagascar,Antananarivo,-18.9166,47.5166
263,Hungary,Budapest,47.5,19.0833
264,Italy,Piedmont,45.0704,7.67
268,Ghana,Ashanti,6.69,-1.63
273,Taiwan,Taoyuan,24.965,121.2168
276,Iran,Eşfahān,32.7,51.7
278,Cameroon,Centre,3.8667,11.5167
282,Bolivia,La Paz,-16.498,-68.15
284,Nigeria,Federal Capital Territory,9.0833,7.5333
285,Zimbabwe,Harare,-17.8178,31.0447
286,US,Indiana,39.7771,-86.1458
288,Bangladesh,Khulna,22.84,89.56
290,Mexico,Baja California,32.5,-117.08
291,Dominican Republic,Cibao Norte,19.5,-70.67
294,Australia,Western Australia,-31.955,115.84
295,Mexico,México,19.3304,-99.67
296,India,Andhra Pradesh,17.73,83.305
297,United Kingdom,Leeds,53.83,-1.58
298,Japan,Hyōgo,34.68,135.17
301,India,Kerala,10.015,76.2239
302,Uruguay,Montevideo,-34.858000000000004,-56.1711
306,Italy,Tuscany,43.78,11.25
308,Mali,Bamako,12.65,-8.0
309,Guinea,Conakry,9.5315,-13.6802
310,Turkey,Bursa,40.2,29.07
311,Mexico,Guanajuato,21.15,-101.7
312,US,Virginia,36.7335,-76.0435
316,"Korea, South",Daejeon,36.3355,127.425
317,US,North Carolina,35.2079,-80.8304
318,Cambodia,Phnom Penh,11.55,104.9166
321,Ukraine,Kharkivs’ka Oblast’,50.0,36.25
324,Togo,Maritime,6.1319,1.2228
325,Argentina,Córdoba,-31.4,-64.1823
327,Qatar,Ad Dawḩah,25.2866,51.533
328,Malaysia,Kuala Lumpur ,3.1667,101.7
329,Mozambique,Maputo,-25.9553,32.5892
330,Nigeria,Kaduna,10.52,7.44
331,"Korea, South",Gwangju,35.171,126.9104
333,El Salvador,San Salvador,13.71,-89.20299999999999
335,France,Auvergne-Rhône-Alpes,45.77,4.83
336,Iran,Alborz,35.8004,50.97
337,Uganda,Kampala,0.3167,32.5833
338,Iran,Āz̄arbāyjān-e Sharqī,38.0863,46.3012
339,Netherlands,Zuid-Holland,52.08,4.27
340,Philippines,Davao,7.11,125.63
341,France,Provence-Alpes-Côte d’Azur,43.29,5.375
344,Indonesia,Jawa Tengah,-6.9666,110.42
345,India,Haryāna,28.4333,77.3167
346,Russia,Novosibirskaya Oblast’,55.03,82.96
348,United Arab Emirates,Dubayy,25.23,55.28
349,US,Wisconsin,43.0642,-87.9673
350,New Zealand,Auckland,-36.8481,174.763
352,Congo (Brazzaville),Brazzaville,-4.2592,15.2847
